name,age,position,team
Anthony Rendon,35,3B,Washington Nationals
George Springer,36,RF,Houston Astros
C.J. Cron,36,1B,Los Angeles Angels
Joe Panik,35,2B,San Francisco Giants
Mikie Mahtook,36,CF,Tampa Bay Rays
Brad Miller,36,DH,Seattle Mariners
Jason Esposito,35,3B,Baltimore Orioles
Nick Ahmed,35,SS,Atlanta Braves
Andrew Susac,35,C,San Francisco Giants
Jack Armstrong,36,1B,Houston Astros
Pratt Maynard,36,C,Los Angeles Dodgers
B.A. Vollmuth,36,3B,Athletics
Aaron Westlake,37,1B,Detroit Tigers
Kyle Kubitza,35,3B,Atlanta Braves
Ricky Oropesa,36,1B,San Francisco Giants
John Hicks,36,C,Seattle Mariners
Jake Lowery,35,C,Cleveland Guardians
Jason King,36,3B,Detroit Tigers
Riccio Torrez,36,3B,Tampa Bay Rays
Matt Skole,36,DH,Washington Nationals
Beau Taylor,36,C,Athletics
Brandon Loy,35,2B,Detroit Tigers
Taylor Featherston,36,3B,Colorado Rockies
Ryan Wright,36,2B,Cincinnati Reds
Tyler Grimes,35,C,Minnesota Twins
Dan Gamache,35,2B,Pittsburgh Pirates
Brandon Meredith,36,LF,Houston Astros
Kyle Gaedele,36,LF,San Diego Padres
Zach Wright,36,C,Philadelphia Phillies
Steven Proscia,35,3B,Seattle Mariners
Cole Frenzel,35,1B,New York Mets
Scott Woodward,37,3B,Los Angeles Dodgers
Harold Riggins,35,1B,Colorado Rockies
Nick Martini,35,RF,St. Louis Cardinals
Kevan Smith,37,C,Chicago White Sox
John Ruettiger,36,LF,Baltimore Orioles
Taylor Dugas,36,LF,Chicago Cubs
Danny Muno,37,3B,New York Mets
Jason Krizan,36,2B,Detroit Tigers
Tommy La Stella,37,DH,Atlanta Braves
Austin Barnes,36,C,Miami Marlins
Tyler Ogle,35,C,Los Angeles Dodgers
Chad Wright,36,CF,Detroit Tigers
Travis Shaw,35,3B,Boston Red Sox
Adam Bryant,36,1B,Minnesota Twins
Matt Rice,36,C,Tampa Bay Rays
Drew Martinez,36,OF,Los Angeles Angels
Dusty Robinson,36,RF,Athletics
Curt Casali,37,C,Detroit Tigers
Robert Kral,36,C,San Diego Padres
Logan Robbins,36,CF,Atlanta Braves
Mike Zunino,34,C,Seattle Mariners
James Ramsey,36,CF,St. Louis Cardinals
Deven Marrero,35,3B,Boston Red Sox
Richie Shaffer,34,1B,Tampa Bay Rays
Victor Roache,34,LF,Milwaukee Brewers
Nolan Fontana,34,2B,Houston Astros
Jeremy Baltz,35,LF,San Diego Padres
Matt Reynolds,35,2B,New York Mets
Adam Brett Walker,34,RF,Minnesota Twins
Joey DeMichele,35,2B,Chicago White Sox
Mac Williamson,35,LF,San Francisco Giants
Patrick Kivlehan,36,RF,Seattle Mariners
Christian Walker,34,1B,Baltimore Orioles
Kenny Diekroeger,35,2B,Kansas City Royals
Brandon Thomas,35,CF,Pittsburgh Pirates
Brandon Miller,36,RF,Washington Nationals
Alex Yarbrough,34,2B,Los Angeles Angels
Alex D. Mejia,35,SS,St. Louis Cardinals
Chris Serritella,35,1B,Philadelphia Phillies
Andrew Aplin,34,CF,Houston Astros
Chris Taylor,35,CF,Seattle Mariners
Austin Nola,36,C,Miami Marlins
Matt Wessinger,35,3B,Colorado Rockies
Max Muncy,35,3B,Athletics
Spencer Kieboom,34,C,Washington Nationals
Blake Brown,34,CF,Atlanta Braves
Ronnie Freeman,35,C,Arizona Diamondbacks
Rob Refsnyder,34,RF,New York Yankees
Anthony Gomez,35,SS,Miami Marlins
Jayce Boyd,35,1B,New York Mets
Joe Hudson,34,C,Cincinnati Reds
Eric Phillips,35,SS,Toronto Blue Jays
Eric Stamets,34,SS,Los Angeles Angels
Josh Elander,34,LF,Atlanta Braves
Jake Lamb,35,1B,Arizona Diamondbacks
Cameron Perkins,35,LF,Philadelphia Phillies
Preston Tucker,35,LF,Houston Astros
Taylor Ard,36,1B,Seattle Mariners
Stephen Bruno,35,2B,Chicago Cubs
Jacob Stallings,36,C,Pittsburgh Pirates
Beau Amaral,35,OF,Cincinnati Reds
Ian Parmley,36,CF,Toronto Blue Jays
Marty Gantt,36,LF,Tampa Bay Rays
Cam Schiller,36,2B,Texas Rangers
Tyler Heineman,34,C,Houston Astros
Torsten Boss,35,2B,Baltimore Orioles
Brian Adams,34,OF,San Diego Padres
Derek Jones,35,RF,Colorado Rockies
Seth Mejias-Brean,34,3B,Cincinnati Reds
Tucker Frawley,36,C,Toronto Blue Jays
Yoenny Gonzalez,34,OF,St. Louis Cardinals
Luke Maile,35,C,Tampa Bay Rays
Evan Marzilli,34,CF,Arizona Diamondbacks
Jeff McVaney,36,RF,Detroit Tigers
Taylor Dugas,36,LF,New York Yankees
Josh Ludy,35,C,Philadelphia Phillies
L.J. Mazzilli,35,2B,Minnesota Twins
Jamodrick McGruder,34,2B,Seattle Mariners
D.J. Crumlich,35,3B,Pittsburgh Pirates
Richie Rodriguez,36,2B,New York Mets
Daniel Pigott,36,1B,Cincinnati Reds
Joey Rickard,34,RF,Tampa Bay Rays
Jake Stewart,35,OF,Detroit Tigers
Joel Hutter,35,3B,Baltimore Orioles
Stephen Carmon,35,SS,San Diego Padres
Ben Waldrip,35,1B,Colorado Rockies
Brett Vertigan,35,CF,Athletics
Craig Manuel,35,C,Washington Nationals
Trevor Brown,34,C,San Francisco Giants
Jacob Wilson,35,2B,St. Louis Cardinals
Daniel Poma,36,RF,Arizona Diamondbacks
Matt Snyder,35,1B,New York Yankees
Kris Bryant,34,DH,Chicago Cubs
Hunter Dozier,34,3B,Kansas City Royals
D.J. Peterson,34,1B,Seattle Mariners
Hunter Renfroe,34,RF,San Diego Padres
Eric Jagielo,33,3B,New York Yankees
Phillip Ervin,33,LF,Cincinnati Reds
Aaron Judge,33,RF,New York Yankees
Austin Wilson,34,RF,Seattle Mariners
Jacob Hannemann,34,CF,Chicago Cubs
Stuart Turner,34,C,Minnesota Twins
JaCoby Jones,33,CF,Pittsburgh Pirates
Daniel Palka,34,LF,Arizona Diamondbacks
Jacob May,34,CF,Chicago White Sox
Brandon Dixon,34,3B,Los Angeles Dodgers
Ryon Healy,34,1B,Athletics
Michael O'Neill,33,LF,New York Yankees
Conrad Gregor,33,1B,Houston Astros
Jordan Patterson,34,RF,Colorado Rockies
Zane Evans,34,C,Kansas City Royals
L.J. Mazzilli,35,2B,New York Mets
Mason Katz,35,2B,St. Louis Cardinals
Brian Ragira,34,1B,San Francisco Giants
Tony Kemp,34,LF,Houston Astros
Chad Wallach,34,C,Miami Marlins
Jared King,34,LF,New York Mets
Jack Reinheimer,33,SS,Seattle Mariners
Johnny Field,33,LF,Tampa Bay Rays
Joe Jackson,33,LF,Texas Rangers
Mikey Reynolds,35,2B,Atlanta Braves
Adam Frazier,34,2B,Pittsburgh Pirates
Jason Monda,34,OF,Philadelphia Phillies
Garrett Cooper,35,1B,Milwaukee Brewers
James Ramsay,33,CF,Houston Astros
Matt Oberste,34,DH,New York Mets
Brandon Trinkwon,33,2B,Los Angeles Dodgers
Connor Harrell,34,CF,Detroit Tigers
Ty Young,33,3B,Tampa Bay Rays
Drew Dosch,33,3B,Baltimore Orioles
Brandon Bednar,33,2B,San Francisco Giants
Jimmy Yezzo,33,1B,Washington Nationals
Forrestt Allday,34,OF,Boston Red Sox
Tyler Smith,34,SS,Seattle Mariners
Kyle Farmer,35,2B,Los Angeles Dodgers
Trey Mancini,33,1B,Baltimore Orioles
Tyler Marincov,34,RF,Athletics
Tyler Horan,35,RF,San Francisco Giants
Kyle Wren,34,CF,Atlanta Braves
Brandon Thomas,35,CF,New York Yankees
Pat Valaika,33,SS,Colorado Rockies
Mitch Garver,35,C,Minnesota Twins
Daniel Rockett,35,RF,Kansas City Royals
Patrick Biondi,35,CF,New York Mets
Grant Nelson,34,C,Arizona Diamondbacks
Stephen McGee,35,C,Los Angeles Angels
Mike Tauchman,35,RF,Colorado Rockies
Ross Kivett,34,CF,Cleveland Guardians
Carlos Lopez,36,RF,Miami Marlins
Michael Ratterree,35,RF,Milwaukee Brewers
Kasey Coffman,34,LF,Detroit Tigers
Austin Wynns,35,C,Baltimore Orioles
Brennan Middleton,35,2B,Washington Nationals
Michael Conforto,32,LF,New York Mets
Max Pentecost,32,DH,Toronto Blue Jays
Trea Turner,32,SS,San Diego Padres
Casey Gillaspie,33,1B,Tampa Bay Rays
Bradley Zimmer,33,CF,Cleveland Guardians
Matt Chapman,32,3B,Athletics
AJ Reed,32,1B,Houston Astros
Aramis Garcia,33,C,San Francisco Giants
Taylor Sparks,32,3B,Cincinnati Reds
J.D. Davis,32,3B,Houston Astros
Brian Anderson,32,RF,Miami Marlins
Mark Zagunis,33,RF,Chicago Cubs
Austin Cousino,32,CF,Seattle Mariners
Jordan Luplow,32,LF,Pittsburgh Pirates
Brett Austin,33,C,Chicago White Sox
Taylor Gushue,32,C,Pittsburgh Pirates
Auston Bousfield,32,CF,San Diego Padres
Shane Zeile,32,C,Detroit Tigers
Michael Suchy,32,RF,Pittsburgh Pirates
Louie Lechich,34,RF,Chicago White Sox
Jose Trevino,33,C,Texas Rangers
Mac James,32,C,Tampa Bay Rays
Greg Allen,32,CF,Cleveland Guardians
Ross Kivett,34,CF,Detroit Tigers
Andrew Sohn,32,SS,St. Louis Cardinals
Jake Peter,32,IF,Chicago White Sox
Drew Weeks,32,OF,Colorado Rockies
Mitch Meyer,33,LF,Milwaukee Brewers
Seth Harrison,33,CF,San Francisco Giants
Bo Way,34,OF,Los Angeles Angels
Mark Payton,34,OF,New York Yankees
Brandon Downes,33,CF,Kansas City Royals
Joey Pankake,33,2B,Detroit Tigers
Branden Cogswell,33,SS,Athletics
Bobby Boyd,33,CF,Houston Astros
Austin Slater,33,LF,San Francisco Giants
Jake Yacinich,32,SS,Los Angeles Angels
Connor Spencer,33,1B,New York Yankees
Ryan O'Hearn,32,1B,Kansas City Royals
Jeff Gardner,34,LF,Washington Nationals
Brian O'Grady,33,RF,Cincinnati Reds
Daniel Miles,34,3B,Tampa Bay Rays
Ben Moore,33,C,Boston Red Sox
Max Murphy,33,LF,Minnesota Twins
Ryan Metzler,32,2B,Toronto Blue Jays
Nick Vilter,32,3B,San Diego Padres
Justin Gonzalez,34,SS,Arizona Diamondbacks
Vicente Conde,32,2B,New York Yankees
Brandon Thomasson,33,RF,Kansas City Royals
Austin Byler,33,1B,Washington Nationals
Doug Votolato,34,RF,Texas Rangers
Adam Martin,34,C,Seattle Mariners
Troy Stein,33,C,Colorado Rockies
Caleb Adams,33,RF,Los Angeles Angels
Ty McFarland,34,2B,New York Yankees
Seth Spivey,33,2B,Texas Rangers
Steven Patterson,33,2B,Cleveland Guardians
Colin Hering,35,RF,Los Angeles Dodgers
Cole Sturgeon,34,OF,Boston Red Sox
Danny Diekroeger,33,3B,St. Louis Cardinals
Dansby Swanson,32,SS,Arizona Diamondbacks
Alex Bregman,31,3B,Houston Astros
Andrew Benintendi,31,LF,Boston Red Sox
Ian Happ,31,LF,Chicago Cubs
Kevin Newman,32,3B,Pittsburgh Pirates
Richie Martin,31,SS,Athletics
DJ Stewart,32,RF,Baltimore Orioles
Taylor Ward,32,LF,Los Angeles Angels
Kyle Holder,31,SS,New York Yankees
Chris Shaw,32,LF,San Francisco Giants
Christin Stewart,32,LF,Detroit Tigers
Donnie Dewees,32,CF,Chicago Cubs
Scott Kingery,31,2B,Philadelphia Phillies
Andrew Stevenson,31,CF,Washington Nationals
Kevin Kramer,32,3B,Pittsburgh Pirates
Mikey White,32,3B,Athletics
Austin Rei,32,C,Boston Red Sox
Blake Trahan,32,SS,Cincinnati Reds
Brandon Lowe,31,2B,Tampa Bay Rays
Braden Bishop,32,CF,Seattle Mariners
Casey Hughston,31,CF,Pittsburgh Pirates
Anderson Miller,31,OF,Kansas City Royals
Harrison Bader,31,LF,St. Louis Cardinals
Rhett Wiseman,31,RF,Washington Nationals
Anthony Hermelyn,32,C,Houston Astros
Tate Matheny,32,CF,Boston Red Sox
Kyle Martin,33,1B,Philadelphia Phillies
Carl Wise,31,3B,Toronto Blue Jays
Jeff Hendrix,32,CF,New York Yankees
Tyler Krieger,32,2B,Cleveland Guardians
Skye Bolt,32,CF,Athletics
Kade Scivicque,32,C,Detroit Tigers
Paul DeJong,32,3B,St. Louis Cardinals
Brendon Sanger,32,OF,Los Angeles Angels
Joe McCarthy,31,LF,Tampa Bay Rays
Blake Allemand,33,2B,Milwaukee Brewers
Ka'ai Tom,31,OF,Cleveland Guardians
Drew Jackson,32,2B,Seattle Mariners
Ronnie Jebavy,31,CF,San Francisco Giants
Roman Collins,31,LF,Kansas City Royals
Cam Gibson,32,LF,Detroit Tigers
Jared Foster,33,CF,Los Angeles Angels
Steven Duggar,32,CF,San Francisco Giants
Cody Jones,32,CF,Kansas City Royals
Edwin Rios,31,1B,Los Angeles Dodgers
David Fletcher,31,2B,Los Angeles Angels
Dylan Moore,33,2B,Texas Rangers
Jake Cronenworth,32,2B,Tampa Bay Rays
Nathan Lukes,31,RF,Cleveland Guardians
Jose Vizcaino Jr.,31,3B,San Francisco Giants
Mitchell Tolman,31,2B,Pittsburgh Pirates
Jesse Jenner,32,C,St. Louis Cardinals
Hutton Moyer,32,2B,Los Angeles Angels
Kal Simmons,32,3B,Arizona Diamondbacks
Casey Schroeder,32,C,Chicago White Sox
Patrick Mazeika,32,C,New York Mets
Nick Collins,31,C,Athletics
Kyle Survance Jr.,32,RF,Los Angeles Angels
LaMonte Wade Jr.,32,1B,Minnesota Twins
Tucker Tubbs,33,1B,Boston Red Sox
Mark Laird,32,CF,Philadelphia Phillies
Daniel De La Calle,33,C,Tampa Bay Rays
Kevin Kaczmarski,34,RF,New York Mets
Connor Panas,33,LF,Toronto Blue Jays
Ryan Krill,32,1B,New York Yankees
Conner Hale,33,3B,Seattle Mariners
David Kerian,33,1B,Washington Nationals
Tanner Lubach,33,C,Los Angeles Angels
Joey Armstrong,32,RF,Arizona Diamondbacks
Leon Byrd,31,2B,Texas Rangers
Sean Miller,31,SS,Minnesota Twins
Mitchell Gunsolus,33,3B,Boston Red Sox
Jackson Glines,33,CF,Chicago White Sox
Vimael Machín,32,SS,Chicago Cubs
Josh Tobias,33,3B,Philadelphia Phillies
Justin Pacchioli,33,OF,San Diego Padres
Steven Pallares,32,CF,Athletics
Cole Bauml,33,RF,Detroit Tigers
Logan Landon,33,CF,Los Angeles Dodgers
Nick Senzel,30,3B,Cincinnati Reds
Corey Ray,31,CF,Milwaukee Brewers
Kyle Lewis,30,OF,Seattle Mariners
Matt Thaiss,30,C,Los Angeles Angels
Will Craig,31,3B,Pittsburgh Pirates
Will Smith,30,C,Los Angeles Dodgers
Chris Okey,31,C,Cincinnati Reds
Michael Reed,30,OF,San Diego Padres
C.J. Chatham,31,SS,Boston Red Sox
Ryan Boldt,31,RF,Tampa Bay Rays
J.B. Woodman,31,CF,Toronto Blue Jays
Sheldon Neuse,31,3B,Washington Nationals
Bryan Reynolds,31,RF,San Francisco Giants
Ronnie Dawson,30,DH,Houston Astros
Nick Solak,31,1B,New York Yankees
Pete Alonso,31,1B,New York Mets
Garrett Hampson,31,2B,Colorado Rockies
Sean Murphy,31,C,Athletics
Alex Call,31,RF,Chicago White Sox
Bryson Brigman,30,SS,Seattle Mariners
Austin Hays,30,LF,Baltimore Orioles
Heath Quinn,30,OF,San Francisco Giants
Jake Rogers,30,C,Houston Astros
Blake Tiberi,31,IF,New York Mets
Stephen Alemais,30,SS,Pittsburgh Pirates
Jameson Fisher,32,1B,Chicago White Sox
Bobby Dalbec,30,1B,Boston Red Sox
Nick Banks,31,OF,Washington Nationals
Charles Leblanc,29,3B,Texas Rangers
Michael Paez,31,2B,New York Mets
Joshua Palacios,30,RF,Toronto Blue Jays
Jeremy Martinez,31,C,St. Louis Cardinals
Brian Serven,30,C,Colorado Rockies
JaVon Shelby,30,3B,Athletics
Donovan Walton,31,2B,Seattle Mariners
Daniel Johnson,30,CF,Washington Nationals
Ryan Howard,31,SS,San Francisco Giants
Connor Justus,31,SS,Los Angeles Angels
Dom Thompson-Williams,30,OF,New York Yankees
Colby Woodmansee,31,SS,New York Mets
Cavan Biggio,30,1B,Toronto Blue Jays
Nicky Lopez,30,3B,Kansas City Royals
David Martinelli,31,CF,Philadelphia Phillies
Matt Gonzalez,32,2B,Atlanta Braves
Tres Barrera,31,C,Washington Nationals
Stephen Wrenn,31,OF,Houston Astros
Errol Robinson,31,2B,Los Angeles Dodgers
Tommy Edman,30,2B,St. Louis Cardinals
Henri Lartigue,30,C,Philadelphia Phillies
J.B. Moss,32,LF,Atlanta Braves
Tyler Ramirez,30,OF,Athletics
Corey Bird,30,CF,Miami Marlins
Ryan Scott,32,LF,Boston Red Sox
Preston Palmeiro,31,2B,Baltimore Orioles
Matt Albanese,30,OF,Minnesota Twins
Jake Noll,31,2B,Washington Nationals
Jordan Zimmerman,31,2B,Los Angeles Angels
Keith Skinner,31,C,New York Yankees
Andrew Knizner,31,C,St. Louis Cardinals
John Sansone,32,2B,Cincinnati Reds
Jacob Robson,31,OF,Detroit Tigers
Nick Zammarelli III,31,1B,Seattle Mariners
Shane Carrier,29,LF,Minnesota Twins
Troy Montgomery,31,RF,Los Angeles Angels
Dalton Blaser,32,1B,New York Yankees
Chris DeVito,31,1B,Kansas City Royals
Tyler Neslony,32,LF,Atlanta Braves
Trey York,31,2B,Milwaukee Brewers
Jarett Rindfleisch,30,C,Miami Marlins
Daniel Pinero,31,3B,Detroit Tigers
Jason Goldstein,31,C,Seattle Mariners
Joey Harris,32,C,Washington Nationals
Michael Barash,31,C,Los Angeles Angels
Tim Lynch,32,1B,New York Yankees
Clark Eagan,30,CF,Pittsburgh Pirates
Matt Fiedler,30,LF,St. Louis Cardinals
Marcus Mooney,32,SS,Atlanta Braves
Vince Fernandez,30,OF,Colorado Rockies
Boomer White,32,3B,San Diego Padres
Zach Remillard,31,2B,Chicago White Sox
David Greer,30,RF,Seattle Mariners
Stephen Smith,31,RF,Arizona Diamondbacks
Paul Panaccione,32,SS,Washington Nationals
Gene Cone,31,RF,New York Mets
Kevin Lachance,31,SS,Los Angeles Dodgers
Danny Hudzina,31,3B,St. Louis Cardinals
Pavin Smith,30,1B,Arizona Diamondbacks
Adam Haseley,29,RF,Philadelphia Phillies
Keston Hiura,29,1B,Milwaukee Brewers
Jake Burger,29,1B,Chicago White Sox
Evan White,29,1B,Seattle Mariners
Logan Warmoth,30,3B,Toronto Blue Jays
Jeren Kendall,30,OF,Los Angeles Dodgers
Stuart Fairchild,29,RF,Cincinnati Reds
Greg Deichmann,30,OF,Athletics
Drew Ellis,30,3B,Arizona Diamondbacks
Gavin Sheets,29,LF,Chicago White Sox
Joe Dunand,30,1B,Miami Marlins
Taylor Walls,29,SS,Tampa Bay Rays
K.J. Harrison,29,1B,Milwaukee Brewers
Luis González,30,RF,Chicago White Sox
Dylan Busby,30,3B,Pittsburgh Pirates
Riley Mahan,30,2B,Miami Marlins
Scott Hurst,29,OF,St. Louis Cardinals
Joey Morgan,29,C,Detroit Tigers
Quinn Brodey,30,RF,New York Mets
Riley Adams,29,C,Toronto Blue Jays
Connor Wong,29,C,Los Angeles Dodgers
Brett Netzer,29,2B,Boston Red Sox
Matt Whatley,30,C,Texas Rangers
Will Toffey,31,3B,Athletics
Jake Scheiner,30,3B,Philadelphia Phillies
Jason Delay,30,C,Pittsburgh Pirates
Michael Gigliotti,30,OF,Kansas City Royals
Kramer Robertson,31,SS,St. Louis Cardinals
Kevin Smith,29,3B,Toronto Blue Jays
Ernie Clement,29,3B,Cleveland Guardians
Cole Freeman,31,2B,Washington Nationals
David Bañuelos,29,C,Seattle Mariners
Matt Winaker,30,1B,New York Mets
Austen Wade,30,OF,Cleveland Guardians
