name,age,position,team
Zach Rutherford,29,3B,Tampa Bay Rays
Jordan Rodgers,30,3B,Atlanta Braves
Dalton Guthrie,30,LF,Philadelphia Phillies
Devin Hairston,29,SS,Milwaukee Brewers
Jonah Todd,30,OF,Los Angeles Angels
Chad Spanberger,30,1B,Colorado Rockies
Jake Adams,30,1B,Houston Astros
Dane Myers,29,CF,Detroit Tigers
Bryce Johnson,30,CF,San Francisco Giants
Mason McCoy,30,2B,Baltimore Orioles
Brock Lundquist,30,LF,Toronto Blue Jays
Mike Rivera,30,C,Cleveland Guardians
Mark Kolozsvary,30,C,Cincinnati Reds
Evan Skoug,30,C,Chicago White Sox
Jared Oliva,30,OF,Pittsburgh Pirates
Chase Pinder,29,CF,St. Louis Cardinals
Ben Breazeale,31,C,Baltimore Orioles
Tim Susnara,29,C,Arizona Diamondbacks
Bret Boswell,31,SS,Colorado Rockies
Jared Barnes,30,C,Miami Marlins
Corey Julks,29,LF,Houston Astros
Billy Cooke,30,OF,Seattle Mariners
Kacy Clemens,31,1B,Toronto Blue Jays
Rylan Bannon,29,3B,Los Angeles Dodgers
Mark Contreras,31,LF,Minnesota Twins
Riley Delgado,30,3B,Atlanta Braves
Camden Duzenack,30,2B,Arizona Diamondbacks
Jack Zoellner,31,3B,Philadelphia Phillies
Dallas Carroll,31,3B,Milwaukee Brewers
Sean Bouchard,29,RF,Colorado Rockies
Michael Papierski,29,1B,Houston Astros
Luke Burch,31,CF,Detroit Tigers
T.J. Nichting,31,RF,Baltimore Orioles
Tanner Gardner,30,OF,Texas Rangers
Chris Carrier,30,OF,Chicago Cubs
Jack Meggs,30,OF,Athletics
Austin Bernard,29,C,Colorado Rockies
Garrett McCain,29,OF,Detroit Tigers
Rob Calabrese,30,C,San Francisco Giants
Zach Reks,32,LF,Los Angeles Dodgers
Jordan Wren,31,OF,Boston Red Sox
Jesse Berardi,30,2B,Cleveland Guardians
Joey Bart,29,C,San Francisco Giants
Alec Bohm,29,3B,Philadelphia Phillies
Nick Madrigal,28,3B,Chicago White Sox
Jonathan India,29,2B,Cincinnati Reds
Kyler Murray,28,OF,Athletics
Travis Swaggerty,28,LF,Pittsburgh Pirates
Trevor Larnach,28,RF,Minnesota Twins
Nico Hoerner,28,2B,Chicago Cubs
Seth Beer,29,1B,Houston Astros
Steele Walker,29,OF,Chicago White Sox
Greyson Jenista,29,1B,Atlanta Braves
Jameson Hannah,28,RF,Athletics
Griffin Conine,28,LF,Toronto Blue Jays
Josh Stowers,28,RF,Seattle Mariners
Tyler Frank,29,2B,Tampa Bay Rays
Kody Clemens,29,2B,Detroit Tigers
Carlos Cortes,28,LF,New York Mets
Owen Miller,29,2B,San Diego Padres
Connor Kaiser,29,SS,Pittsburgh Pirates
Tristan Pompey,28,CF,Miami Marlins
Cal Raleigh,29,C,Seattle Mariners
Ford Proctor,29,2B,Tampa Bay Rays
Kyle Isbel,28,CF,Kansas City Royals
Terrin Vavra,28,2B,Colorado Rockies
Jimmy Herron,29,LF,Chicago Cubs
Jeremy Peña,28,SS,Houston Astros
Richie Palacios,28,LF,Cleveland Guardians
Alfonso Rivas III,29,1B,Athletics
Nick Fortes,29,C,Miami Marlins
Grant Witherspoon,29,CF,Tampa Bay Rays
Eric Cole,29,OF,Kansas City Royals
DaShawn Keirsey Jr.,28,CF,Minnesota Twins
Kole Cottam,28,C,Boston Red Sox
Alex McKenna,28,OF,Houston Astros
Matt Vierling,29,CF,Philadelphia Phillies
Dwanya Williams-Sutton,28,OF,San Diego Padres
Grant Koch,29,C,Pittsburgh Pirates
Robert Neustrom,29,OF,Baltimore Orioles
Chris Bec,30,C,Toronto Blue Jays
Nick Dunn,29,3B,St. Louis Cardinals
Brandon Lockridge,28,LF,New York Yankees
Andy Weber,28,2B,Chicago Cubs
Gage Canning,28,OF,Washington Nationals
Steven Kwan,28,LF,Cleveland Guardians
Devin Mann,29,3B,Los Angeles Dodgers
Nick Meyer,28,C,New York Mets
Niko Decolati,28,RF,Colorado Rockies
Devlin Granberg,30,OF,Boston Red Sox
Jay Schuyler,28,C,Cincinnati Reds
Jawuan Harris,29,OF,San Diego Padres
Brett Kinneman,29,RF,Pittsburgh Pirates
Nick Podkul,28,1B,Toronto Blue Jays
Brendan Donovan,29,2B,St. Louis Cardinals
David Fry,30,1B,Milwaukee Brewers
D.J. Artis,28,OF,Chicago Cubs
César Salazar,29,C,Houston Astros
James Outman,28,CF,Los Angeles Dodgers
Jeremiah Burks,29,2B,Detroit Tigers
Seth Lancaster,29,SS,Philadelphia Phillies
AJ Graffanino,28,2B,Atlanta Braves
JJ Schwarz,29,C,Athletics
Jax Biggers,28,2B,Texas Rangers
Jackson Lueck,28,OF,Kansas City Royals
Chris Williams,29,C,Minnesota Twins
Tyler Cropley,30,C,Washington Nationals
Luke Heyer,29,2B,Los Angeles Dodgers
Gunnar Troutwine,29,C,Chicago White Sox
Luke Becker,29,2B,San Diego Padres
Jake Brodt,30,1B,Toronto Blue Jays
Keegan McGovern,30,OF,Seattle Mariners
Matt Duce,30,C,St. Louis Cardinals
Willie MacIver,29,C,Colorado Rockies
Scott Schreiber,30,OF,Houston Astros
Josh McLain,29,OF,Los Angeles Dodgers
Brock Deatherage,30,CF,Detroit Tigers
Madison Stokes,29,SS,Philadelphia Phillies
Michael Gretler,30,3B,Pittsburgh Pirates
Cal Stevenson,29,OF,Toronto Blue Jays
Matt Sanders,29,SS,Seattle Mariners
Kevin Woodall,29,1B,St. Louis Cardinals
Cade Harris,28,RF,Colorado Rockies
Luke Reynolds,30,3B,Chicago Cubs
Nick Dalesandro,29,C,Arizona Diamondbacks
Grant Williams,30,2B,Boston Red Sox
Carson Shaddy,31,2B,Washington Nationals
Chandler Taylor,30,OF,Houston Astros
Deacon Liput,29,SS,Los Angeles Dodgers
Adley Rutschman,28,C,Baltimore Orioles
JJ Bleday,28,CF,Miami Marlins
Josh Jung,28,3B,Texas Rangers
Shea Langeliers,28,C,Atlanta Braves
Hunter Bishop,27,OF,San Francisco Giants
Bryson Stott,28,2B,Philadelphia Phillies
Will Wilson,27,3B,Los Angeles Angels
Braden Shewmake,28,SS,Atlanta Braves
Michael Toglia,27,1B,Colorado Rockies
Kody Hoese,28,3B,Los Angeles Dodgers
Logan Davidson,28,1B,Athletics
Michael Busch,28,1B,Los Angeles Dodgers
Cam Cannon,28,SS,Boston Red Sox
Brady McConnell,27,SS,Kansas City Royals
Nick Quintana,28,3B,Detroit Tigers
Logan Wyatt,28,1B,San Francisco Giants
Matt Gorski,28,1B,Pittsburgh Pirates
Beau Philip,27,SS,Atlanta Braves
Aaron Schunk,28,SS,Colorado Rockies
Chase Strumpf,27,3B,Chicago Cubs
Josh Smith,28,SS,New York Yankees
Grae Kessinger,28,3B,Houston Astros
Zach Watson,28,CF,Baltimore Orioles
Peyton Burdick,28,CF,Miami Marlins
Andre Lipcius,27,2B,Detroit Tigers
Spencer Steer,28,1B,Minnesota Twins
Tristin English,28,OF,Arizona Diamondbacks
Drew Mendoza,28,3B,Washington Nationals
Matt Fraizer,28,CF,Pittsburgh Pirates
Jake Sanford,28,CF,New York Yankees
Jordan Brewer,28,CF,Houston Astros
Joey Ortiz,27,SS,Baltimore Orioles
Evan Edwards,28,1B,Miami Marlins
Ryan Kreidler,28,CF,Detroit Tigers
Tyler Fitzgerald,28,2B,San Francisco Giants
Will Robertson,28,LF,Toronto Blue Jays
Jake Mangum,29,LF,New York Mets
Seth Gray,27,3B,Minnesota Twins
Nick Kahle,27,C,Milwaukee Brewers
Kyle McCann,28,C,Athletics
John Rave,28,RF,Kansas City Royals
Bryant Packard,28,LF,Detroit Tigers
Kellen Strahm,28,RF,Texas Rangers
Tanner Morris,28,2B,Toronto Blue Jays
Will Holland,27,SS,Minnesota Twins
Austin Shenton,28,1B,Seattle Mariners
Thomas Dillard,28,C,Milwaukee Brewers
Jaxx Groshans,27,C,Boston Red Sox
Maverick Handley,27,C,Baltimore Orioles
Cooper Johnson,27,C,Detroit Tigers
Zach Ashford,29,CF,New York Mets
Jackson Cluff,29,SS,Washington Nationals
Will Matthiessen,28,1B,Pittsburgh Pirates
Pedro Pagés,27,C,St. Louis Cardinals
Matthew Barefoot,28,CF,Houston Astros
Johnny Rizer,29,OF,Baltimore Orioles
Eric Yang,27,C,Cincinnati Reds
Armani Smith,27,OF,San Francisco Giants
LJ Talley,28,2B,Toronto Blue Jays
Luke Ritter,29,2B,New York Mets
Anthony Prato,27,SS,Minnesota Twins
Spencer Brickhouse,27,1B,Arizona Diamondbacks
Jake Guenther,28,1B,Tampa Bay Rays
Gabe Holt,28,CF,Milwaukee Brewers
Drew Millas,28,C,Athletics
Ivan Gonzalez,29,C,Chicago White Sox
Tevin Mitchell,28,RF,Miami Marlins
Jack Kenley,28,SS,Detroit Tigers
Quin Cotton,27,CF,Cincinnati Reds
Angel Camacho,28,3B,Toronto Blue Jays
Nate Fassnacht,28,SS,Philadelphia Phillies
Dominic Canzone,28,RF,Arizona Diamondbacks
Jeremy Ydens,28,OF,Washington Nationals
Will Brennan,28,RF,Cleveland Guardians
Ryan Ward,27,LF,Los Angeles Dodgers
David Hamilton,28,2B,Milwaukee Brewers
Wil Dalton,28,CF,Boston Red Sox
Clay Dungan,29,2B,Kansas City Royals
TJ Hopkins,29,CF,Cincinnati Reds
Simon Whiteman,29,SS,San Francisco Giants
Phil Clarke,27,C,Toronto Blue Jays
Joe Genord,29,1B,New York Mets
Rudy Rott,29,1B,Philadelphia Phillies
Ethan Paul,29,SS,Pittsburgh Pirates
Mike Salvatore,29,1B,Seattle Mariners
Isaac Collins,28,LF,Colorado Rockies
Spencer Henson,28,1B,New York Yankees
Jordan Cannon,29,C,Baltimore Orioles
J.D. Orr,29,CF,Miami Marlins
Jake Holton,27,1B,Detroit Tigers
Jeff Houghtby,28,SS,San Francisco Giants
McCarthy Tatum,29,3B,Philadelphia Phillies
Jonathan Embry,29,C,Tampa Bay Rays
Zac Ching,28,SS,Los Angeles Dodgers
Patrick McColl,28,1B,Athletics
Stephen Scott,28,OF,Boston Red Sox
Spencer Torkelson,26,1B,Detroit Tigers
Heston Kjerstad,27,LF,Baltimore Orioles
Austin Martin,26,CF,Toronto Blue Jays
Nick Gonzales,26,2B,Pittsburgh Pirates
Patrick Bailey,26,C,San Francisco Giants
Justin Foscue,26,1B,Texas Rangers
Garrett Mitchell,27,CF,Milwaukee Brewers
Aaron Sabato,26,1B,Minnesota Twins
Austin Wells,26,C,New York Yankees
Dillon Dingler,27,C,Detroit Tigers
Hudson Haskin,27,OF,Baltimore Orioles
Zach DeLoach,27,RF,Seattle Mariners
Casey Schmitt,26,3B,San Francisco Giants
Freddy Zamora,27,SS,Milwaukee Brewers
Alerick Soularie,26,OF,Minnesota Twins
Trei Cruz,27,CF,Detroit Tigers
Anthony Servideo,26,SS,Baltimore Orioles
Tyler Gentry,27,RF,Kansas City Royals
Kaden Polcovich,26,2B,Seattle Mariners
Casey Martin,26,SS,Philadelphia Phillies
Jordan Nwogu,26,OF,Chicago Cubs
Anthony Walters,28,SS,New York Mets
Zavier Warren,27,1B,Milwaukee Brewers
Jesse Franklin V,27,OF,Atlanta Braves
Michael Guldberg,26,OF,Athletics
Trevor Hauver,27,RF,New York Yankees
Gage Workman,26,3B,Detroit Tigers
Tyler Keenan,26,3B,Seattle Mariners
Matthew Dyer,27,OF,New York Mets
Joey Wiemer,27,LF,Milwaukee Brewers
Brady Lindsly,27,C,Washington Nationals
Carson Taylor,26,1B,Los Angeles Dodgers
Zach Daniels,27,RF,Houston Astros
Zach Britton,27,C,Toronto Blue Jays
Jack Blomgren,27,SS,Colorado Rockies
Baron Radcliff,27,OF,Philadelphia Phillies
Hayden Cantrelle,27,2B,Milwaukee Brewers
L.J. Jones,26,OF,St. Louis Cardinals
Shay Whitcomb,27,LF,Houston Astros
Henry Davis,26,C,Pittsburgh Pirates
Colton Cowser,25,LF,Baltimore Orioles
Sal Frelick,25,RF,Milwaukee Brewers
Matt McLain,26,2B,Cincinnati Reds
Trey Sweeney,25,SS,New York Yankees
Aaron Zavala,25,LF,Texas Rangers
Jud Fabian,25,CF,Boston Red Sox
Connor Norby,25,3B,Baltimore Orioles
Ryan Bliss,26,2B,Arizona Diamondbacks
Ethan Wilson,26,OF,Philadelphia Phillies
Cody Morissette,26,SS,Miami Marlins
Zack Gelof,26,2B,Athletics
Kyle Manzardo,25,1B,Tampa Bay Rays
Tyler McDonough,26,OF,Boston Red Sox
John Rhodes,25,OF,Baltimore Orioles
Branden Boissiere,25,OF,Washington Nationals
Alex Binelas,25,1B,Milwaukee Brewers
Jose Torres,26,SS,Cincinnati Reds
Donta' Williams,26,OF,Baltimore Orioles
Hunter Goodman,26,C,Colorado Rockies
JT Schwartz,26,1B,New York Mets
Tanner Allen,27,OF,Miami Marlins
Ruben Ibarra,26,1B,Cincinnati Reds
Cooper Bowman,26,2B,New York Yankees
Christian Franklin,26,LF,Chicago Cubs
Cal Conley,26,SS,Atlanta Braves
Christian Encarnacion-Strand,26,1B,Minnesota Twins
Dru Baker,25,CF,Tampa Bay Rays
Jackson Glenn,28,3B,Pittsburgh Pirates
Nathan Hickey,26,C,Boston Red Sox
Caleb Roberts,26,OF,Arizona Diamondbacks
Andy Thomas,27,C,Seattle Mariners
Ethan Murray,25,SS,Milwaukee Brewers
Quincy Hamilton,27,OF,Houston Astros
Brady Allen,26,RF,Miami Marlins
Tyler Hardman,27,1B,New York Yankees
Liam Spence,27,SS,Chicago Cubs
Luke Waddell,27,SS,Atlanta Braves
CJ Rodriguez,25,C,Athletics
Max Ferguson,26,2B,San Diego Padres
Mike Jarvis,27,SS,Pittsburgh Pirates
Austin Murr,27,LF,Detroit Tigers
Collin Burns,25,SS,Baltimore Orioles
Braxton Fulford,27,C,Colorado Rockies
Sam Praytor,26,C,Miami Marlins
Justice Thompson,25,OF,Cincinnati Reds
Justyn-Henry Malloy,25,RF,Atlanta Braves
Wyatt Hendrie,27,C,Pittsburgh Pirates
Connor Pavolony,26,C,Baltimore Orioles
Kevin Kendall,26,SS,New York Mets
Jacob Young,26,CF,Washington Nationals
Colin Davis,27,OF,Seattle Mariners
Tristan Peters,25,LF,Milwaukee Brewers
Joey Loperfido,26,LF,Houston Astros
Parker Chavers,27,OF,Chicago Cubs
Brett Harris,27,3B,Athletics
Jake Rucker,26,3B,Minnesota Twins
Robby Martin Jr.,26,OF,Colorado Rockies
Will Frizzell,26,1B,Washington Nationals
James Parker,25,SS,Seattle Mariners
Zack Raabe,26,2B,Milwaukee Brewers
Mike Antico,28,CF,St. Louis Cardinals
Casey Opitz,27,C,Chicago Cubs
Drew Swift,27,SS,Athletics
Noah Cardenas,26,C,Minnesota Twins
Lucas Dunn,26,2B,San Diego Padres
Luke Brown,26,OF,Pittsburgh Pirates
Liam Hicks,26,C,Texas Rangers
Tyler Miller,26,3B,Boston Red Sox
Ryan Higgins,26,3B,Baltimore Orioles
Parker Bates,28,OF,Kansas City Royals
Spencer Packard,28,OF,Seattle Mariners
Jack Rogers,26,LF,Cincinnati Reds
Liam McGill,28,C,Atlanta Braves
Shane McGuire,26,C,Athletics
Patrick Winkel,26,C,Minnesota Twins
Austin Schultz,25,OF,Detroit Tigers
Billy Cook,27,OF,Baltimore Orioles
Zach Kokoska,27,OF,Colorado Rockies
Logan Cerny,26,CF,Philadelphia Phillies
Wes Clarke,26,1B,Milwaukee Brewers
Michael Sandle,27,OF,Houston Astros
Ben Cowles,26,3B,New York Yankees
Peter Matt,27,OF,Chicago Cubs
Jack Winkler,27,2B,Athletics
Ernie Yake,28,SS,Minnesota Twins
Colton Bender,27,C,San Diego Padres
Jacob Berry,24,1B,Miami Marlins
Brooks Lee,25,3B,Minnesota Twins
Gavin Cross,25,RF,Kansas City Royals
Kevin Parada,24,C,New York Mets
Jace Jung,25,3B,Detroit Tigers
Zach Neto,25,SS,Los Angeles Angels
Chase DeLauter,24,RF,Cleveland Guardians
Daniel Susac,24,C,Athletics
Spencer Jones,24,CF,New York Yankees
Eric Brown Jr.,25,SS,Milwaukee Brewers
Drew Gilbert,25,CF,Houston Astros
Reggie Crawford,25,1B,San Francisco Giants
Dalton Rushing,24,C,Los Angeles Dodgers
Max Wagner,24,3B,Baltimore Orioles
Ivan Melendez,26,3B,Arizona Diamondbacks
Cayden Wallace,24,3B,Kansas City Royals
Peyton Graham,25,SS,Detroit Tigers
Logan Tanner,25,C,Cincinnati Reds
Tyler Locklear,25,1B,Seattle Mariners
Josh Kasevich,25,SS,Toronto Blue Jays
Jacob Melton,25,LF,Houston Astros
Brock Jones,24,OF,Tampa Bay Rays
Jack Brannigan,24,SS,Pittsburgh Pirates
Trey Lipscomb,25,3B,Washington Nationals
Joe Lampe,25,OF,Cleveland Guardians
Gabriel Rincones Jr.,24,RF,Philadelphia Phillies
Colby Thomas,25,RF,Athletics
Drake Baldwin,24,C,Atlanta Braves
Alan Roden,26,LF,Toronto Blue Jays
Alex Freeland,24,SS,Los Angeles Dodgers
Silas Ardoin,25,C,Baltimore Orioles
Ryan Ritter,25,SS,Colorado Rockies
Jimmy Crooks,24,C,St. Louis Cardinals
Chase Meidroth,24,SS,Boston Red Sox
Anthony Hall,25,OF,New York Yankees
Jordan Sprinkle,24,SS,Chicago White Sox
Matthew Wood,24,C,Milwaukee Brewers
Dominic Keegan,25,C,Tampa Bay Rays
Nick Biddison,25,RF,Los Angeles Dodgers
Andrew Pintar,24,CF,Arizona Diamondbacks
Tres Gonzalez,25,OF,Pittsburgh Pirates
Jared McKenzie,24,OF,Washington Nationals
Luke Gold,25,3B,Detroit Tigers
Sonny DiChiara,26,1B,Los Angeles Angels
Guy Lipscomb,24,OF,Cleveland Guardians
Cade Hunter,25,C,Cincinnati Reds
Victor Scott II,25,CF,St. Louis Cardinals
Jalen Battles,26,SS,Tampa Bay Rays
Sean McLain,24,SS,Los Angeles Dodgers
Douglas Hodo III,25,OF,Baltimore Orioles
Jorel Ortega,25,2B,Minnesota Twins
Hayden Dunhurst,25,C,Kansas City Royals
Danny Serretti,25,3B,Detroit Tigers
Jakob Marsee,24,CF,San Diego Padres
Brennan Milone,24,3B,Athletics
Josh Hood,25,SS,Seattle Mariners
Collin Price,26,C,Houston Astros
Kody Huff,25,C,Colorado Rockies
Seth Stephenson,25,OF,Detroit Tigers
Nick Vogt,25,OF,San Diego Padres
Caleb Ricketts,25,C,Philadelphia Phillies
Trey Faltine,25,SS,Cincinnati Reds
Alex Iadisernia,25,OF,St. Louis Cardinals
Peyton Williams,25,1B,Toronto Blue Jays
Ben Metzinger,26,3B,Milwaukee Brewers
Blake Robertson,24,1B,Tampa Bay Rays
Zach Morgan,25,C,San Francisco Giants
Griffin Doersching,27,1B,San Diego Padres
Tatem Levins,26,C,Seattle Mariners
Dylan Rock,27,OF,Toronto Blue Jays
Brett Barrera,24,SS,New York Yankees
Mario Camilletti,26,2B,Chicago White Sox
Taylor Young,27,2B,Los Angeles Dodgers
Wade Meckler,25,OF,San Francisco Giants
Adam Crampton,24,SS,Baltimore Orioles
Gavin Logan,26,C,Arizona Diamondbacks
Maxwell Romero Jr.,24,C,Washington Nationals
Andrew Jenkins,25,1B,Detroit Tigers
Joe Stewart,27,OF,Los Angeles Angels
Chase Estep,25,3B,New York Mets
Chad Castillo,25,OF,Philadelphia Phillies
Caeden Trenkle,24,OF,Athletics
Cory Acton,26,2B,Atlanta Braves
Michael Turner,27,C,Chicago White Sox
Brett Johnson,26,OF,Arizona Diamondbacks
Josh Hatcher,27,OF,Texas Rangers
Tanner Tredaway,26,OF,Pittsburgh Pirates
Murphy Stehly,27,3B,Washington Nationals
Dalton Shuffield,26,SS,Minnesota Twins
Levi Usher,25,OF,Kansas City Royals
Matt Coutney,26,1B,Los Angeles Angels
Brock Rodden,25,2B,Athletics
Bill Knight,26,OF,Seattle Mariners
Tim Elko,27,1B,Chicago White Sox
Zach Cole,25,CF,Houston Astros
