Name,Season,Age,Team,Lg,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards,,
Seth Beer,2022,25,ARI,NL,-1,38,126,111,4,21,3,0,1,9,0,0,11,31,0.189,0.278,0.243,0.521,50,0.239,45,27,3,3,0,1,1,D/3H,,,
Steele Walker,2022,25,TEX,AL,-0.2,5,16,14,1,1,0,0,1,1,0,0,2,4,0.071,0.188,0.286,0.473,32,0.215,27,4,0,0,0,0,0,/79H,,,
Griffin Conine,2024,26,MIA,NL,0.8,30,89,82,14,22,4,1,3,12,0,0,6,28,0.268,0.326,0.451,0.777,113,0.332,109,37,1,1,0,0,0,9/7HD,,,
Griffin Conine,2025,27,MIA,NL,0.1,24,86,79,13,20,7,0,2,8,0,1,7,25,0.253,0.314,0.418,0.732,101,0.325,107,33,0,0,0,0,0,7/9DH,,,
Kody Clemens,2022,26,DET,AL,-0.2,56,127,117,13,17,4,0,5,17,1,0,8,33,0.145,0.197,0.308,0.505,43,0.222,34,36,1,0,0,2,0,5H3/471D,,,
Kody Clemens,2023,27,PHI,NL,0,47,148,139,15,32,7,0,4,13,0,0,8,40,0.23,0.277,0.367,0.644,75,0.279,68,51,1,1,0,0,0,3/H1D69,,,
Kody Clemens,2024,28,PHI,NL,0.3,43,120,114,17,25,9,1,5,18,0,0,5,29,0.219,0.258,0.447,0.706,91,0.3,85,51,2,1,0,0,0,H35/471D,,,
Carlos Cortes,2025,28,ATH,AL,0.7,42,99,94,11,29,8,1,4,14,0,0,3,20,0.309,0.323,0.543,0.866,133,0.36,131,51,3,0,0,2,0,9H/75D,,,
Owen Miller,2021,24,CLE,AL,-1,60,202,191,17,39,8,0,4,18,2,0,9,54,0.204,0.243,0.309,0.551,51,0.254,52,59,7,1,0,1,0,43/5HD6,,,
Owen Miller,2022,25,CLE,AL,0.3,130,472,424,53,103,26,1,6,51,2,0,32,93,0.243,0.301,0.351,0.652,89,0.292,86,149,8,7,0,9,1,34DH/5,,,
Owen Miller,2023,26,MIL,NL,0.3,90,314,291,29,76,17,0,5,27,13,2,17,61,0.261,0.303,0.371,0.674,83,0.3,79,108,6,2,0,4,1,435H/7D9,,,
Connor Kaiser,2023,26,COL,NL,-0.1,3,4,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,-100,0,-140,0,0,0,0,0,0,/6H,,,
Connor Kaiser,2025,28,ARI,NL,-0.3,11,19,18,1,2,1,0,0,2,0,0,1,5,0.111,0.158,0.167,0.325,-10,0.15,-22,3,1,0,0,0,0,/4H,,,
Cal Raleigh,2021,24,SEA,AL,-0.5,47,148,139,6,25,12,0,2,13,0,0,7,52,0.18,0.223,0.309,0.532,48,0.229,41,43,3,1,0,1,0,2/H,,,
Cal Raleigh,2022,25,SEA,AL,3.9,119,415,370,46,78,20,1,27,63,1,0,38,122,0.211,0.284,0.489,0.774,122,0.338,123,181,5,2,0,5,0,*2H/D,,,
Cal Raleigh,2023,26,SEA,AL,3.4,145,569,513,78,119,23,1,30,75,0,0,54,158,0.232,0.306,0.456,0.762,114,0.331,116,234,6,1,0,1,1,*2HD,MVP-18,,
Ford Proctor,2022,25,SFG,NL,-0.2,7,22,18,3,2,0,0,1,6,0,0,2,3,0.111,0.182,0.278,0.46,29,0.197,16,5,0,0,0,2,0,/42H,,,
Kyle Isbel,2021,24,KCR,AL,0.6,28,83,76,16,21,5,2,1,7,2,0,7,23,0.276,0.337,0.434,0.772,108,0.345,111,33,0,0,0,0,0,9/87HD,,,
Kyle Isbel,2022,25,KCR,AL,0.5,106,278,256,32,54,10,4,5,28,9,6,16,75,0.211,0.264,0.34,0.603,70,0.262,62,87,5,3,1,2,0,987H/D,,,
Kyle Isbel,2023,26,KCR,AL,2,91,313,292,45,70,22,2,5,34,7,1,17,59,0.24,0.282,0.38,0.662,79,0.289,73,111,5,1,1,2,0,8/HD,,,
Terrin Vavra,2022,25,BAL,AL,0,40,103,89,14,23,2,1,1,12,0,1,12,19,0.258,0.34,0.337,0.677,97,0.298,94,30,2,0,0,2,0,47/HD9,,,
Terrin Vavra,2023,26,BAL,AL,-0.5,27,56,49,9,12,0,0,0,5,1,0,5,12,0.245,0.315,0.245,0.56,62,0.28,72,12,5,0,2,0,0,9/7HD54,,,
Terrin Vavra,2025,28,BAL,AL,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,-136,0,0,0,0,0,0,/4H,,,
Jeremy Pe�a,2022,24,HOU,AL,5,136,558,521,72,132,20,2,22,63,11,2,22,135,0.253,0.289,0.426,0.715,102,0.319,102,222,5,6,1,5,0,*6/H,ROY-5GG,,
Jeremy Pe�a,2023,25,HOU,AL,3.9,150,634,577,81,152,32,3,10,52,13,9,43,129,0.263,0.324,0.381,0.705,95,0.315,99,220,11,9,1,1,1,*6,,,
Jeremy Pe�a,2024,26,HOU,AL,3.9,157,650,602,78,160,28,2,15,70,20,6,25,111,0.266,0.308,0.394,0.701,99,0.311,97,237,15,14,3,6,1,*6,,,
Richie Palacios,2022,25,CLE,AL,-0.2,54,123,112,7,26,6,0,0,10,2,0,9,20,0.232,0.293,0.286,0.578,69,0.261,61,32,2,1,0,1,1,7HD/4,,,
Richie Palacios,2023,26,STL,NL,0.6,32,102,93,9,24,6,0,6,16,2,0,6,11,0.258,0.307,0.516,0.823,119,0.354,118,48,1,1,1,1,0,7/8HD94,,,
Richie Palacios,2024,27,TBR,AL,1.8,92,316,264,46,59,8,1,5,21,19,1,45,67,0.223,0.346,0.318,0.664,94,0.318,96,84,5,5,0,1,2,497H/D56,,,
Alfonso Rivas III,2021,24,CHC,NL,0.1,18,49,44,7,14,1,0,1,3,0,0,4,16,0.318,0.388,0.409,0.797,117,0.356,120,18,1,1,0,0,0,/H379,,,
Alfonso Rivas III,2022,25,CHC,NL,0.4,101,287,251,27,59,5,2,3,25,6,1,29,87,0.235,0.322,0.307,0.628,77,0.288,73,77,1,4,1,2,1,3H/D79,,,
Alfonso Rivas III,2023,26,2TM,NL,0.3,48,123,109,8,25,10,1,3,15,1,0,9,36,0.229,0.303,0.422,0.725,95,0.313,90,46,1,3,1,1,0,3/H7,,,
Nick Fortes,2021,24,MIA,NL,0.2,14,34,31,6,9,0,0,4,7,1,0,3,8,0.29,0.353,0.677,1.03,170,0.437,173,21,1,0,0,0,0,/2HD,,,
Nick Fortes,2022,25,MIA,NL,1.2,72,240,217,41,50,6,1,9,24,5,3,18,45,0.23,0.304,0.392,0.696,95,0.313,98,85,5,5,0,0,0,2DH/3,,,
Nick Fortes,2023,26,MIA,NL,-0.3,108,323,294,33,60,10,0,6,26,4,2,17,59,0.204,0.263,0.299,0.562,49,0.259,46,88,12,7,3,2,0,2H/D,,,
DaShawn Keirsey Jr.,2024,27,MIN,AL,0,6,14,13,1,2,0,0,1,1,0,0,0,1,0.154,0.214,0.385,0.599,64,0.254,55,5,0,1,0,0,0,/87,,,
DaShawn Keirsey Jr.,2025,28,MIN,AL,-1.2,74,88,84,11,9,0,0,2,6,10,3,2,33,0.107,0.138,0.179,0.317,-13,0.162,-24,15,1,1,1,0,0,9H78/D,,,
Matt Vierling,2021,24,PHI,NL,0.2,34,77,71,11,23,3,1,2,6,2,0,4,20,0.324,0.364,0.479,0.843,126,0.375,129,34,1,1,0,1,1,H/3879,,,
Matt Vierling,2022,25,PHI,NL,-0.4,117,357,325,41,80,12,2,6,32,7,4,23,70,0.246,0.297,0.351,0.648,84,0.287,80,114,7,3,0,6,0,897H/543D,,,
Matt Vierling,2023,26,DET,AL,1.5,134,530,479,63,125,21,5,10,44,6,6,44,112,0.261,0.329,0.388,0.717,98,0.316,100,186,8,5,1,1,1,*9758H/4,,,
Grant Koch,2024,27,PIT,NL,-0.1,3,8,7,1,0,0,0,0,0,0,0,1,6,0,0.125,0,0.125,-60,0.086,-68,0,0,0,0,0,0,/2H,,,
Brandon Lockridge,2024,27,SDP,NL,0,12,12,12,4,2,0,0,1,1,2,0,0,4,0.167,0.167,0.417,0.583,56,0.275,42,5,0,0,0,0,0,/7H9D8,,,
Brandon Lockridge,2025,28,2TM,NL,0.2,67,148,134,17,31,7,1,0,11,10,1,8,36,0.231,0.276,0.299,0.574,60,0.266,51,40,2,1,3,2,0,78H9/D,,,
Steven Kwan,2022,24,CLE,AL,5.7,147,638,563,89,168,25,7,6,52,19,5,62,60,0.298,0.373,0.4,0.772,124,0.349,126,225,9,7,2,4,2,*79/8HD,ROY-3GG,,
Steven Kwan,2023,25,CLE,AL,3.2,158,718,638,93,171,36,7,5,54,21,3,70,75,0.268,0.34,0.37,0.71,97,0.319,97,236,9,3,1,6,2,*7/DH,GG,,
Steven Kwan,2024,26,CLE,AL,4,122,540,480,83,140,16,3,14,44,12,5,53,51,0.292,0.368,0.425,0.793,126,0.352,128,204,5,5,2,0,0,*7/DH,ASGG,,
Brendan Donovan,2022,25,STL,NL,4,126,468,391,64,110,21,1,5,45,2,3,60,70,0.281,0.394,0.379,0.773,124,0.352,130,148,8,14,1,2,1,45973DH/6,ROY-3GG,,
Brendan Donovan,2023,26,STL,NL,1.9,95,371,327,48,93,10,1,11,34,5,1,33,53,0.284,0.365,0.422,0.787,114,0.358,122,138,4,9,1,1,2,47D3H/956,,,
Brendan Donovan,2024,27,STL,NL,2.8,153,652,587,65,163,34,3,14,73,5,5,47,81,0.278,0.342,0.417,0.759,114,0.332,114,245,4,13,0,5,0,74/5DH9,,,
David Fry,2023,27,CLE,AL,0.4,57,113,101,12,24,6,0,4,15,2,0,8,30,0.238,0.319,0.416,0.734,101,0.332,106,42,3,4,0,0,0,23H/917D5,,,
David Fry,2024,28,CLE,AL,1.4,122,392,335,44,88,18,1,14,51,4,1,42,84,0.263,0.356,0.448,0.804,128,0.352,128,150,13,9,0,4,4,DH237/59,AS,,
David Fry,2025,29,CLE,AL,-0.8,66,157,146,16,25,4,0,8,23,1,0,9,58,0.171,0.229,0.363,0.592,61,0.256,54,53,3,2,0,0,0,DH,,,
C�sar Salazar,2023,27,HOU,AL,-0.2,13,19,18,1,2,0,0,0,0,0,0,1,6,0.111,0.158,0.111,0.269,-23,0.13,-35,2,1,0,0,0,0,/2H,,,
C�sar Salazar,2024,28,HOU,AL,0.2,12,32,25,5,8,2,0,0,8,0,0,2,6,0.32,0.387,0.4,0.787,126,0.344,123,10,0,2,1,2,0,2/DH,,,
C�sar Salazar,2025,29,HOU,AL,-0.1,11,16,13,0,3,0,0,0,1,0,0,2,2,0.231,0.375,0.231,0.606,75,0.291,81,3,1,1,0,0,0,/2HD1,,,
James Outman,2022,25,LAD,NL,0.4,4,16,13,6,6,2,0,1,3,0,0,2,7,0.462,0.563,0.846,1.409,289,0.585,290,11,0,1,0,0,0,/79D,,,
James Outman,2023,26,LAD,NL,3.4,151,567,483,86,120,16,3,23,70,16,3,68,181,0.248,0.353,0.437,0.79,114,0.349,114,211,4,12,0,4,1,*87/H9D,ROY-3,,
James Outman,2024,27,LAD,NL,-0.5,53,156,136,12,20,4,0,4,11,2,1,16,55,0.147,0.256,0.265,0.521,49,0.24,48,36,0,4,0,0,0,8H/79,,,
Tyler Cropley,2023,27,KCR,AL,-0.1,2,7,6,0,1,0,0,0,1,0,0,0,2,0.167,0.143,0.167,0.31,-16,0.127,-40,1,0,0,0,1,0,/2,,,
Willie MacIver,2025,28,ATH,AL,-0.2,32,111,102,7,19,5,0,3,9,3,0,7,27,0.186,0.252,0.324,0.576,58,0.259,53,33,1,2,0,0,0,1-Feb,,,
Cal Stevenson,2022,25,OAK,AL,-0.2,23,71,60,5,10,3,0,0,1,1,1,8,23,0.167,0.261,0.217,0.478,43,0.218,38,13,1,0,2,1,0,8/9H7,,,
Cal Stevenson,2023,26,SFG,NL,0,6,12,9,1,0,0,0,0,0,0,0,3,2,0,0.25,0,0.25,-21,0.25,52,0,0,0,0,0,0,/8,,,
Cal Stevenson,2024,27,PHI,NL,-0.1,18,27,24,2,6,3,0,0,6,0,0,3,4,0.25,0.333,0.375,0.708,97,0.311,93,9,1,0,0,0,0,8/H97,,,
Adley Rutschman,2022,24,BAL,AL,5.4,113,470,398,70,101,35,1,13,42,4,0,65,86,0.254,0.362,0.445,0.806,131,0.361,134,177,4,4,0,3,0,2D/H,MVP-12ROY-2,,
Adley Rutschman,2023,25,BAL,AL,4.3,154,687,588,84,163,31,1,20,80,1,2,92,101,0.277,0.374,0.435,0.809,128,0.35,127,256,14,2,0,5,6,*2D/H,ASMVP-9SS,,
Adley Rutschman,2024,26,BAL,AL,3.1,148,638,571,68,143,21,1,19,79,1,0,58,103,0.25,0.318,0.391,0.709,105,0.313,104,223,9,2,0,7,3,2D/H,AS,,
JJ Bleday,2022,24,MIA,NL,-0.7,65,238,204,21,34,10,2,5,16,4,1,30,67,0.167,0.277,0.309,0.586,66,0.268,63,63,5,2,0,2,0,87/H9,,,
JJ Bleday,2023,25,OAK,AL,-0.1,82,303,256,35,50,11,0,10,27,5,1,42,72,0.195,0.31,0.355,0.666,88,0.299,90,91,3,2,0,3,0,789/HD,,,
JJ Bleday,2024,26,OAK,AL,2.1,159,642,572,74,139,43,4,20,60,2,3,67,125,0.243,0.324,0.437,0.762,120,0.333,121,250,8,2,1,0,2,*8H/D,,,
Josh Jung,2022,24,TEX,AL,0,26,102,98,9,20,4,1,5,14,2,0,4,39,0.204,0.235,0.418,0.654,81,0.286,75,41,2,0,0,0,0,5/D,,,
Josh Jung,2023,25,TEX,AL,2.6,122,515,478,75,127,25,1,23,70,1,3,30,151,0.266,0.315,0.467,0.781,113,0.334,112,223,7,5,0,2,0,*5/H,ASROY-4,,
Josh Jung,2024,26,TEX,AL,0.7,46,188,178,19,47,5,1,7,16,4,0,8,48,0.264,0.298,0.421,0.719,108,0.319,107,75,1,1,0,1,0,5/D,,,
Shea Langeliers,2022,24,OAK,AL,0.2,40,153,142,14,31,10,1,6,22,0,0,9,53,0.218,0.261,0.43,0.691,99,0.295,93,61,4,0,0,2,0,D2,,,
Shea Langeliers,2023,25,OAK,AL,0.9,135,490,448,52,92,19,4,22,63,3,2,34,143,0.205,0.268,0.413,0.681,89,0.293,87,185,10,5,1,2,2,*2/DH,,,
Shea Langeliers,2024,26,OAK,AL,2.9,137,534,482,58,108,18,2,29,80,4,2,41,145,0.224,0.288,0.45,0.739,111,0.321,111,217,15,5,0,6,2,*2/HD,,,
Bryson Stott,2022,24,PHI,NL,1.2,127,466,427,58,100,19,2,10,49,12,4,36,89,0.234,0.295,0.358,0.653,85,0.294,83,153,3,1,1,1,0,64/H5,,,
Bryson Stott,2023,25,PHI,NL,4.3,151,640,585,78,164,32,2,15,62,31,3,39,100,0.28,0.329,0.419,0.747,103,0.339,105,245,10,7,1,8,1,*4/HD,,,
Bryson Stott,2024,26,PHI,NL,2.3,148,571,506,65,124,19,2,11,57,32,3,53,93,0.245,0.315,0.356,0.671,86,0.309,84,180,9,3,0,9,1,*46H/D,,,
Will Wilson,2025,26,CLE,AL,-0.5,34,91,78,7,15,4,0,0,2,2,0,7,34,0.192,0.267,0.244,0.511,44,0.238,34,19,1,1,5,0,0,45/H1D,,,
Braden Shewmake,2023,25,ATL,NL,-0.1,2,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-100,0,-131,0,0,0,0,0,0,/6,,,
Braden Shewmake,2024,26,CHW,AL,-0.6,29,67,64,4,8,2,0,1,4,5,1,1,10,0.125,0.134,0.203,0.337,-5,0.154,-20,13,0,0,0,2,0,6/54HD,,,
Michael Toglia,2022,23,COL,NL,-0.1,31,120,111,10,24,8,2,2,12,1,1,9,44,0.216,0.275,0.378,0.653,74,0.304,82,42,2,0,0,0,0,93/H,,,
Michael Toglia,2023,24,COL,NL,-1.5,45,152,141,18,23,5,0,4,9,1,1,10,50,0.163,0.224,0.284,0.507,31,0.23,23,40,3,1,0,0,0,39/H7D,,,
Michael Toglia,2024,25,COL,NL,2.1,116,458,399,62,87,14,3,25,55,10,1,54,147,0.218,0.311,0.456,0.767,102,0.334,99,182,7,1,0,3,2,39/7,,,
Logan Davidson,2025,27,2TM,AL,-0.6,19,47,42,3,7,2,0,1,4,0,0,3,22,0.167,0.222,0.286,0.508,40,0.218,24,12,1,0,2,0,0,3/H514,,,
Michael Busch,2023,25,LAD,NL,-0.4,27,81,72,9,12,3,0,2,7,1,0,8,27,0.167,0.247,0.292,0.539,46,0.244,40,21,0,0,0,1,0,5/D3H47,,,
Michael Busch,2024,26,CHC,NL,2.8,152,567,496,73,123,28,2,21,65,2,1,63,162,0.248,0.335,0.44,0.775,118,0.338,118,218,9,4,0,4,1,*3H/4D5,,,
Michael Busch,2025,27,CHC,NL,4.6,155,592,524,78,137,25,5,34,90,4,0,56,139,0.261,0.343,0.523,0.866,147,0.376,148,274,2,10,0,2,2,*3H/D,MVP-16,,
Matt Gorski,2025,27,PIT,NL,-0.3,15,42,41,2,8,0,1,2,4,0,1,1,16,0.195,0.214,0.39,0.605,64,0.241,52,16,1,0,0,0,0,3/H87,,,
Aaron Schunk,2024,26,COL,NL,0.2,39,98,94,14,22,3,0,2,7,0,1,4,31,0.234,0.265,0.33,0.595,59,0.26,52,31,0,0,0,0,1,45/H6D,,,
Aaron Schunk,2025,27,COL,NL,-0.3,16,33,32,1,6,1,0,0,0,0,0,0,10,0.188,0.188,0.219,0.406,8,0.18,-13,7,1,0,1,0,0,/64H5D,,,
Josh Smith,2022,24,TEX,AL,0.2,73,253,213,23,42,5,0,2,16,4,3,28,50,0.197,0.307,0.249,0.556,61,0.259,60,53,1,7,2,3,0,57H/6D4,,,
Josh Smith,2023,25,TEX,AL,1,90,232,195,29,36,8,1,6,15,1,0,25,55,0.185,0.304,0.328,0.633,76,0.293,80,64,3,9,2,1,0,657H/D4,,,
Josh Smith,2024,26,TEX,AL,3.5,149,592,523,67,135,30,1,13,62,11,2,46,121,0.258,0.337,0.394,0.731,114,0.329,116,206,6,18,2,3,1,56DH/749,SS,,
